text,date
@hm image 2 not available in Australia?,2024-05-15 09:25:32+00:00
"Sono una ragazza che ha appena aperto un negozio con tanto impegno e sacrifici, chiedo supporto a tutti voi ho abbigliamento e accessori all’ultima moda e di alta qualità a prezzi modici ✨✨✨",2024-05-15 09:08:12+00:00
@junglasuburbana why paying attention now? Not fashionable or trendy to see the genocide these big labels are contributing to? Aww 😘🇵🇸,2024-05-15 08:57:00+00:00
@karolgaarden Hello there! Please send us a private message or contact live customer service so we can better advise. Speak soon!,2024-05-15 08:33:46+00:00
,2024-05-15 07:41:45+00:00
@ida_egerstad Hello! Please send us a direct message so we can assist you! Take care!,2024-05-15 07:21:15+00:00
@sara0lofsson Hi there! Thank you for your message. We did have a global technical issue causing problem with the delivery options in checkout. We are really sorry about the inconvenience and are happy to share that the problem is now solved 😊,2024-05-15 07:20:04+00:00
"@marcicalisto Hi there, we're sorry to hear this! Please send us a DM, then we can look into this for you. We are looking forward to your message!",2024-05-15 07:09:08+00:00
La línea de camisetas de moda en la capital! @underground28700 Link en BIO,2024-05-15 06:52:29+00:00
"@snesha___ Wir bedauern deine Schilderung, doch können wir an dieser Stelle nicht viel dazu sagen. Du kannst dich gerne einmal via Direktnachricht bei uns melden und wir werfen einen Blick auf dein Konto.",2024-05-15 06:16:21+00:00
"Hello! I am a young person who cares about protecting animals. I really admire your company, and ask you to take a stand for corporate sustainability and social responsibility. Please consider no longer selling fur or other animal materials. Conscious consumers like myself want to know that our favorite companies are committed to sustainable, eco-friendly, animal-free materials. Thank you for your time and consideration!",2024-05-15 00:09:38+00:00
Please respond to DM. Thank you!,2024-05-14 23:24:30+00:00
In love 😍,2024-05-14 23:23:25+00:00
Y,2024-05-14 23:13:02+00:00
😍😍😍,2024-05-14 21:59:17+00:00
🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌,2024-05-14 21:32:12+00:00
,2024-05-14 21:04:50+00:00
@miliecl Beautiful right? Our heeled suede sandals are available in select countries. You can check availability using the product number 1217971001. Happy shopping!,2024-05-14 20:34:49+00:00
#blockout,2024-05-14 20:10:15+00:00
#blockout2024🇵🇸,2024-05-14 20:10:02+00:00
#blockout2024🇵🇸,2024-05-14 20:09:39+00:00
"H&M,was ist mit eurem Service los? Seit wann seid ihr so schlecht geworden?Ich bin jahrelanger ,zufriedener Kunde und habe immer gerne und nicht wenig bei euch gekauft.In letzter Zeit passieren aber viele Fehler.entweder bekomme ich eine falsche Ware oder meine Retoure wird nicht richtig verbucht.Bis jetzt hat das aber immer über den Chat gut geklappt und man konnte mir immer helfen.Heute aber,stellte ich wieder fest dass eine Retoure falsch verbucht wurde und wandte mich an den Chat in der App und die Dame sagt mir ,da bei mir in letzter Zeit öfters was falsch verbucht worden ist,werdet ihr mir nichts mehr korrigieren weil ein Verpackungsfehler oder buchungsfehler eurer Seits ausgeschlossen werden kann.Wie dreist ist das denn bitte??!!! Ich soll für etwas zahlen was ich mir nicht behalten habe! Mir wird unterstellt es sei mein Fehler.Stellt euch mal vor ich bestelle was teures und ihr kommt mir dann so!das ist eine bodenlose Frechheit! Ich bin sauer,verärgert ,wütend,enttäuscht.Ihr habt mich definitiv als Kundin verloren ,denn so etwas habe ich noch nie wo gesehen.nicht bei zara,Mango,weekday,Stradivarius oder sonst wo.schämt euch!",2024-05-14 19:52:48+00:00
"@hm it didn’t work! All day trying to fix it… the website is saying that my address don’t exist😂 I buy and work for you guys for years! Now I have to buy from another store, because is still not working!",2024-05-14 19:51:47+00:00
"Ich hatte des Öfteren falsch verbuchte Retouren in der Vergangenheit. Nachdem mehrmals auf meine Nachfrage nachgeforscht wurde bekam ich eine Email, in der mir mein Recht auf Nachforschungen genommen wurde und pauschal ausgeschlossen wurde, dass weitere Korrekturen in meinem Kundenkonto vorgenommen  würden. Jetzt gab es schon wieder ein Artikel der trotz Rücksendung nicht als Retoure verbucht wurde. Die Kosten soll ich tragen mit Verweis auf die E-Mail. Laut meinem Anwalt ist dieses Verhalten nicht zulässig. Ist das noch jemandem passiert? Ich wäre dankbar über Eure Erfahrungsberichte, vor allem ist mir aber auch wichtig aufzuklären.",2024-05-14 19:47:23+00:00
#boycott #blockout2024  clean up time!,2024-05-14 19:32:54+00:00
@jarrahalqahs why H&M now? Is not fashionable to post the same under the other clothes brand?,2024-05-14 19:31:22+00:00
@ida_egerstad Same,2024-05-14 18:25:36+00:00
"@hm Please fix your website and app. It has not been working for several hours, so I can't get past the delivery address.",2024-05-14 18:25:06+00:00
"Please fix your website and app. It has not been working for several hours, so I can't get past the delivery address.",2024-05-14 18:23:57+00:00
"@hm I have deleted the app, installed it again but that didn’t help.",2024-05-14 18:22:43+00:00
@hm I have done that already and i still cant get past delivery adress,2024-05-14 18:10:51+00:00
